Institution,Location
Arizona State University,"Tempe, AZ"
Boston University,"Boston, MA"
Brandeis University,"Waltham, MA"
Brown University,"Providence, RI"
California Institute of Technology,"Pasadena, CA"
Carnegie Mellon,"Pittsburgh, PA"
Case Western Reserve University,"Cleveland, OH"
Colorado State University,"Fort Collins, CO"
Columbia University,"New York, NY"
Cornell University,"Ithaca, NY"
Dartmouth,"Hanover, NH"
Duke University,"Durham, NC"
Emory,"Druid Hills, GA"
Florida State University,"Tallahassee, FL"
George Washington University,"Washington, DC"
Georgetown University,"Washington, DC"
Georgia Institute of Technology,"Atlanta, GA"
Georgia State University,"Atlanta, GA"
Harvard,"Cambridge, MA"
Indiana University-Bloomington,"Bloomington, IN"
Iowa State University,"Ames, IA"
Johns Hopkins,"Baltimore, MD"
Louisiana State University,"Baton Rouge, LA"
Massachusetts Institute of Technology,"Cambridge, MA"
Michigan State University,"East Lansing, MI"
Mississippi State University,"Starkville, MS"
Montana State University,"Bozeman, MT"
New York University,"New York, NY"
North Carolina State University,"Raleigh, NC"
North Dakota State University,"Fargo, ND"
Northwestern University,"Evanston, IL"
Ohio State University,"Columbus, OH"
Oregon State University,"Corvallis, OR"
Pennsylvania State University,"University Park, PA"
Princeton,"Princeton, NJ"
Purdue University,"West Lafayette, IN"
Rensselaer Polytechnic Institute,"Troy, NY"
Rice University,"Houston, TX"
Rockefeller University,"New York, NY"
Rutgers,"New Brunswick, NJ"
Stanford University,"Stanford, CA"
Stony Brook University,"Stony Brook, NY"
Tufts University,"Medford, MA"
Tulane University,"New Orleans, LA"
University of Alabama-Birmingham,"Birmingham, AL"
University of Alabama-Huntsville,"Huntsville, AL"
University of Arizona,"Tuscon, AZ"
University of Arkansas,"Fayatteville, AR"
University of California-Berkeley,"Berkeley, CA"
University of California-Davis,"Davis, CA"
University of California-Irvine,"Irvine, CA"
University of California-Los Angeles,"Los Angeles, CA"
University of California-Riverside,"Riverside, CA"
University of California-San Diego,"San Diego, CA"
University of California-Santa Barbara,"Santa Barbara, CA"
University of California-Santa Cruz,"Santa Cruz, CA"
University of Central Florida,"Orlando, FL"
University of Chicago,"Chicago, IL"
University of Cincinnati,"Cincinatti, OH"
University of Colorado-Boulder,"Boulder, CO"
University of Connecticut,"Storrs, CT"
University of Delaware,"Newark, DE"
University of Florida,"Gainesville, FL"
University of Georgia,"Athens, GA"
University of Houston,"Houston, TX"
University of Illinois-Chicago,"Chicago, IL"
University of Illinois-Urbana Champaign,"Urbana, IL"
University of Iowa,"Iowa City, IA"
University of Kansas,"Lawrence, KS"
University of Kentucky,"Lexington, KY"
University of Louisville,"Louisville, KY"
University of Maryland,"College Park, MD"
University of Massachusetts-Amherst,"Amherst, MA"
University of Miami,"Coral Gables, FL"
University of Michigan,"Ann Arbor, MI"
University of Minnesota,"Minneapolis, MN"
University of Missouri,"Columbia, MO"
University of Nebraska-Lincoln,"Lincoln, NE"
University of New Mexico,"Albuquerque, NM"
University of North Carolina-Chapel Hill,"Chapel Hill, NC"
University of Notre Dame,"Notre Dame, IN"
University of Oklahoma,"Norman, OK"
University of Oregon,"Eugene, OR"
University of Pennsylvania,"Philadelphia, PA"
University of Pittsburgh,"Pittsburgh, PA"
University of Rochester,"Rochester, NY"
University of South Carolina,"Columbia, SC"
University of South Florida,"Tampa, FL"
University of Southern California,"Los Angeles, CA"
University of Tennessee,"Knoxville, TN"
University of Texas-Austin,"Austin, TX"
University of Utah,"Salt Lake City, UT"
University of Virginia,"Charlottesville, VA"
University of Washington-Seattle,"Seattle, WA"
University of Wisconsin,"Madison, WI"
Vanderbilt University,"Nashville, TN"
Virginia Commonwealth University,"Richmond, VA"
Virginia Tech,"Blacksburg, VA"
Washington State University,"Pullman, WA"
Washington University-St. Louis,"Saint Louis, MO"
Wayne State University,"Detroit, MI"
Yale,"New Haven, CT"
Yeshiva University,"New York, NY"
